체험마을명,시군구명,체험프로그램구분,체험프로그램명,소재지도로명주소,대표전화번호,홈페이지주소
문경큰사람마을,문경시,농작물경작체험+만들기체험+기타,가마솥밥짓기+조식+옥수수따기+오미자청담기+오미자고추장만들기+도자기체험(핸드페인팅)+도자기체험(흙놀이)+두부만들기+사과따기+바베큐체험+고구마캐기,경상북도 문경시 산북면 거무길 9,054-552-1035,NULL
물숲(명천),무주군,농작물경작체험+자연생태체험+기타+만들기체험,나만의가랜드만들기+캠핑농장+썰매타기체험+솔향기힐링체험+솔잎두부만들기+솔방울가습기만들기+달집태우기및풍등올리기+맨손송어잡기+물놀이+소나무숲에서나만의도마만들기체험+반려견캠핑+나의화분만들기,전북특별자치도 무주군 안성면 원통사로 294,063-323-1132,http://www.무주솔밭펜션.com
물안개피는마을,합천군,건강,명상교육,경상남도 합천군 용주면 용지1길 78-1,NULL,NULL
물통골마을,순창군,농작물경작체험+건강+만들기체험+기타,단순방문이용상담+두부만들기체험+딸기수학체험+무쇠가마솥밥짓기체험+물통골체험(둘레길)+알밤줍기체험+하지감자수확체험+체험상담및담사+쌈채소수확체험+물통골마을종체험후식사+메주만들기+단체농활,전북특별자치도 순창군 구림면 구산로 122,063-653-9325,NULL
미산자락농촌체험휴양마을,임실군,기타+건강,게이트볼체험+특산물판매,전북특별자치도 임실군 삼계면 삼계1길 14,NULL,NULL
미선나무농촌체험휴양마을,괴산군,농작물경작체험+만들기체험+기타,미서니강정만들기+미서니견과칩만들기+미선미스트만들기+미선비누만들기+미선쌈밥체험+소품분재만들기체험+오이롤초밥+원예체험+압화체험+분경만들기+미선식초만들기+미선분화체험+미선나무묘목심기체험,충청북도 괴산군 칠성면 연풍로 61,NULL,http://miseonnamu.modoo.at/
미친서각마을,보령시,농작물경작체험+건강+전통문화체험+만들기체험,김밥만들기체험+꽃차체험+도자기핸드페인팅+떡갈비프로그램+머그컵체험+목공예+민화그리기체험+벽화프로그램+인생의벗+나무:바구니만들기+원예치료프로그램+요가프로그램+와플만들기+오침안정법+염색프로그램+염색체험+압화만들기+아로마테라피+쿠키(갈레트)+커피박화분+커피박프로그램+커피박열쇠고리만들기+캄포나무빵도마+제본제책만들기+절편프로그램+절편만들기+전통문양머그컵만들기+핸드페인팅+풍물프로그램+페이퍼플라워+페이스페인팅+쿠키만들기+스트링아트+수제청만들기+소시지만들기+서각프로그램(재능)+서각프로그램+서각작품프로그램+새싹인삼키우기+빵도마+민화프로그램+목공예프로그램+메리골드꽃에이드+머그컵만들기+떡갈비체험+달고나뽑기,충청남도 보령시 남포면 원제길 37,041-934-2203,http://www.artvillage.kr/
바람이좋은화산마을,군위군,기타,화산마을비빔밥체험+화산마을화전민솥밥체험+화산마을화전민밥상체험,대구광역시 군위군 삼국유사면 화산산성길 65,NULL,NULL
박달재초록꿈체험마을,제천시,농작물경작체험+자연생태체험+전통문화체험+만들기체험,건강밥상+캠핑체험+향기담은석고방향제만들기+쿠키만들기+천연염색스카프+건강찰떡만들기+민박체험+전래놀이,충청북도 제천시 백운면 구학산로 736,043-651-1233,NULL
박사골권역,임실군,농작물경작체험+건강+전통문화체험,감자캐기+물놀이체험+박사골농촌체험+전통쌀엿바람넣기+전통음식체험+옥수수따기+고구마케기체험,전북특별자치도 임실군 삼계면 세심길 26,063-642-7077,NULL
밤두둑마을,횡성군,농작물경작체험+만들기체험+자연생태체험+전통문화체험+기타,만들기체험(공예)+영농체험+전통고추장만들기+전통먹거리체험+한우먹이주기체험+전통놀이체험+육묘체험(쌈채)+생태체험+목공체험(냄비받침),강원특별자치도 횡성군 횡성읍 반곡3길 6,NULL,NULL
밤마리권역,합천군,농작물경작체험+전통문화체험,감자파종수확+캐릭터수제비만들기+활인대탈마을탐방+탈없이놀자+전통놀이+나도바리스타+마늘고추장담그기+오광대탈만들기+마늘장아찌만들기,경상남도 합천군 덕곡면 율지2길 13-7,055-932-9258,NULL
밤원농촌체험휴양마을,상주시,농작물경작체험+만들기체험+자연생태체험+건강+기타,감따기체험+복숭아수확체험+상주와잠_누에별빛조명만들기+상주와잠꽃차체험+상주와잠시골조찬+우두산사과체험+오디따기체험+어성초비누만들기+야간풋살체험+식용곤충과놀기+시공양식체험+솔향꾸버스BBQ체험+샤인머스켓수확체험+상주와잠자연놀이체험+홍차갤러리+플로솜체험패키지+표고버섯수확체험+포도수확체험(캠벨)+탄소저감머그컵만들기+커피나무화분심기힐링체험+유기농건강체식체험(한농패키지)+상주와잠숙면힐링여행+상주와잠_데크캠핑체험+상주곶감체험+말목장힐링체험+고구마수확체험+나누담표고키우기체험,경상북도 상주시 내서면 서원3길 29-80,070-4259-3654,http://www.bamwon.org
밤톨이마을,공주시,농작물경작체험+전통문화체험+만들기체험+기타,공룡만들기+밤을넣어만든음식+새총쏘기+알밤줍고추억담고+불피우기+밤양갱(밤묵)만들기+밤붕어빵만들기,충청남도 공주시 정안면 북계새뜸길 61,041-854-7770,NULL
방길마을,임실군,전통문화체험+기타,김장체험+절임배추체험+전통놀이체험,전북특별자치도 임실군 신덕면 삼길1길 177-80,NULL,NULL
방화마을,순창군,농작물경작체험+전통문화체험,농산물수확체험+효사랑체험,전북특별자치도 순창군 구림면 방화1길 30,NULL,NULL
배두둑마을,평창군,농작물경작체험+자연생태체험+전통문화체험+만들기체험,나만의우든펜만들기+목공교육+숲밧줄놀이+원목도마만들기+전래놀이+식용곤충쿠키만들기+농경체험,강원특별자치도 평창군 대화면 선애길 90,033-333-8614,http://700farmstay.modoo.at/
백두대간약초마을,정선군,기타,떡메치기체험+모노레일체험+숙박+전통활쏘기+맨손송어잡기체험,강원특별자치도 정선군 임계면 눈꽃마을길 178-30,NULL,NULL
백로마을,횡성군,농작물경작체험+자연생태체험+기타+만들기체험,가을프로그램+두부만들기체험+모기퇴치제만들기+쌀베이킹체험+양말목공예만들기(대)+진로체험프로그램+여름프로그램+양말목공예만들기(소)+압화액자만들기+봄프로그램+떡메치기체험+다식만들기키트+겨울프로그램+나무선반만들기(소),강원특별자치도 횡성군 서원면 백로마을길 29,NULL,http://백로마을.한국
백마권역마을,괴산군,농작물경작체험+만들기체험+기타,겨울놀이축제+고구마+밤굽기체험+김장김치체험+나전칠기+농작물수확체험+두부만들기체험+미꾸라지잡기체험+오색찰떡공예체험+팝콘체험+티볼놀이체험+천연비누만들기+전통놀이체험패키지+인두화만들기+위원장강의+요리사체험+어린이요리교실+두부체험(자유학기제)+된장체험+논생물생태체험+김장담그기+고추장만들기체험,충청북도 괴산군 사리면 사리로 517,043-836-9911,http://ok100ma.kr
백옥마을,평창군,농작물경작체험+만들기체험+건강+기타,꽃차체험+메밀막국수+산양삼체취후술담그기+토종갓따기+오미자효소담그기+떡치기,강원특별자치도 평창군 용평면 백옥포길 24,NULL,NULL
백제인동마을,부여군,기타,계절별두부만들기체험+연만들기+연날리기+텃밭채소로비빔밥만들기+알밤줍기체험+계절별떡만들기체험+꽃부채만들기+시기별농산물수확체험+나만의도자기목걸이만들기,충청남도 부여군 은산면 지천로 539-3,041-833-7564,NULL
버드니마을,상주시,농작물경작체험+자연생태체험+기타,감자+옥수수따기+포도주만들기+포도수확체험+전통놀이체험+봄나물뜯기+신의터재백두대간숲체험+얼음썰매장+일일농부해보기+오미자따기+곶감만들기,경상북도 상주시 화동면 중화로 1324,054-531-0118,http://cafe.daum.net/b-maul
버들나루터마을,순창군,농작물경작체험+건강+전통문화체험+자연생태체험+기타,딸기따기체험+맛체험+물고기잡기+숲길걷기체험(책여산)+카누체험+캠프파이어+윷놀이+물놀이체험+떡매치기,전북특별자치도 순창군 유등면 유등로 621,063-652-8157,http://www.순창나루터권역.com/
버들뱅이마을,상주시,농작물경작체험+자연생태체험+기타,곶감만들기+사과따기체험+산버섯체험+산양삼캐기체험B+인절미만들기+토종꿀뜨기체험(대)+풍뎅이+푸룬재배관리+포도재배교육+토종벌양봉교육+토종벌사양관리기초B+토종벌사양관리기초A+토종꿀뜨기체험(소)+전통순대만들기+시골살이+산양삼캐기체험A+산나물체험+사과꽃체험+별밤을즐겨요,경상북도 상주시 모서면 득수1길 186-13,NULL,http://cafe.daum.net/menemiakdmf
벌촌천황봉마을,남원시,농작물경작체험+전통문화체험+기타+자연생태체험+만들기체험,딱지만들기+소밥주기+한식고기부페+숲밧줄놀이+미꾸리잡기체험+떡메체기+마을예술단공연,전북특별자치도 남원시 보절면 벌촌길 28,063-626-4771,NULL
벽봉마을,횡성군,농작물경작체험+만들기체험,농산물수확체험+타일공예+동물체험,강원특별자치도 횡성군 공근면 금계로 505,NULL,http://www.벽봉마을.com
별나로마을,고흥군,농작물경작체험+기타+자연생태체험,갯벌체험+마늘쫑뽑기+칠게잡기+유자차담그기체험+동물체험+낚시+대체메뉴:바지락칼국수,전라남도 고흥군 포두면 상오길 65,NULL,http://byulnarovill.com
볏가리마을,태안군,농작물경작체험+기타+전통문화체험+만들기체험,인절미만들기+오디수확+염전체험+볏가릿대세우기+갯벌체험+고구마수확+다육식물화분만들기+두부만들기+동물농장체험+감자수확,충청남도 태안군 이원면 볏가리길 62,041-672-7296,NULL
보리감자마을,공주시,농작물경작체험+기타,감자캐기+농작물수확+딸기화분만들기+보리감자마을축제+생태체험+오미자팝콘만들기+합동새배+알밤줍기+산신제+떡메치기+달집태우기+김장담그기,충청남도 공주시 유구읍 안동해동길 5,041-841-8869,NULL
보성 예당 체험휴양마을,보성군,기타+건강+만들기체험,김치체험장운영+한지공예+차훈명상+숙박,전라남도 보성군 득량면 예당길 165-1,061-853-9009,NULL
보현산권역정각마을,영천시,기타+만들기체험+전통문화체험,가죽공예+천연염색+천문대별관측+농사체험+먹거리체험+손두부만들기+미나리푸딩,경상북도 영천시 화북면 정각길 71-39,NULL,http://www.bohyeonsanvil.com
봉강농촌체험휴양마을,상주시,농작물경작체험+만들기체험,만화그리기+목공체험+아열대/덩굴식물체험+피자만들기(대형)+피자만들기(소형)+맥주만들기,경상북도 상주시 외서면 천봉서로 755,NULL,http://cafe.daum.net/sangjucamp
봉정사국화마을,안동시,농작물경작체험,수확,경상북도 안동시 서후면 봉정사길 163-4,054-859-8600,NULL
봉천마을,보성군,농작물경작체험+자연생태체험+만들기체험+전통문화체험,두부만들기+식물도감+압화+잿콩나물+천연염색+콩도감+한지공예+청국장쿠키과자+천연비누+연만들기+메주만들기,전라남도 보성군 복내면 당촌길 8,061-853-5896,NULL
봉황마을,평창군,농작물경작체험+건강+자연생태체험+만들기체험+전통문화체험+기타,고랭지배추김장만들기+둘레길체험+목공체험+즉석떡볶이만들기+줌바댄스+전통부채만들기체험+전통놀이체험+자연생태체험+약선고추장만들기+애플양갱+숲체험+산골비빔밥+핸드드립커피체험+트랙터관광+캠핑+차박+사과차체험+사과와플만들기+사과따기+불멍+봉황산골백반+별자리체험+물고기수렵체험+무드등만들기+떡볶이만들기+농촌관광교육+곰취따기+국궁(활쏘기)체험+김자전만들기+귀농귀촌교육,강원특별자치도 평창군 대화면 금당계곡로 824,NULL,NULL
부여기와마을,부여군,농작물경작체험+건강+만들기체험+전통문화체험+기타,공기청정기만들기+오이소박이담기+오이+방울토마토따기체험+연잎밥만들고먹기+연잎밥과일꽃우드플레이팅+쌀랑해요쥬얼리+스카프염색체험+수박화채만들기+수박떡바+백제문양팬던트만들기+풀장체험+콩고기햄버거만들기+추억의도시락체험+천연비누만들기+와송심고그림시쓰고+백제떡만들기+발효식초만들기+미니버거만들기+멜론고추장만들기(kg)+멜론고추장만들기(g)+땅속보물찿기+대가키우는보약+다식만들기+손수건염색하기+손두부만들기+색동인절미만들기+새싹삼심기+사비길자전거여행+브리또만들기+보리영양빵만들기+백제활만들기+백제석궁만들기+나만의농장만들기+나만의쌀주얼리만들기+나무곤충만들기+내가키우는보약+낙화암향초+김장체험,충청남도 부여군 부여읍 월함로 277,041-834-8253,http://www.부여기와마을.kr
부여양송이마을,부여군,농작물경작체험+자연생태체험+전통문화체험+만들기체험,나도요리사+물놀이체험+버섯돌이체험+양송이머핀만들기+양송이에코백만들기+양송이파스타+역사보고탐험대+자유학기진로체험+주말화덕피자+전부치기체험+인성학교프로그램+양송이화덕피자만들기+양송이치즈구이+양송이버거만들기체험+수영장(물놀이체험)+나만의화분심기,충청남도 부여군 석성면 금백로 425,NULL,NULL
북방마을,하동군,기타,딸기체험,경상남도 하동군 옥종면 북방우회길 7-4,NULL,NULL
블루베리마을,고성군,농작물경작체험+만들기체험,딸기따는체험행사+메밀수확체험행사+전통장담그는체험행사+토마토따는체험행사+블루베리열매따기,강원특별자치도 고성군 간성읍 중두골길 7,NULL,NULL
비단강숲마을,영동군,농작물경작체험+기타,기타+비단강자연체험+손두부+과일잼+시골밥상체험등+인용자전거하이킹+풍물체험+올갱이체험+뻥튀기+떡메+짚공예+짚꼬기+뗏목체험+떡메치기,충청북도 영동군 양산면 수두1길 20-42,043-745-5432,NULL
비단권역농촌체험휴양마을,제천시,농작물경작체험+건강,꽃차체험+족욕.물놀이체험,충청북도 제천시 금성면 월림로4길 50-132,NULL,NULL
사기막리마을,괴산군,농작물경작체험+건강,글쓰기+도자기+목공+춤명상+숲길트레킹+막걸리,충청북도 괴산군 청천면 사기막길 44-29,NULL,NULL
사오랑마을,괴산군,농작물경작체험+자연생태체험+만들기체험+전통문화체험,감자캐기체험+미꾸라지잡기체험+새집만들어달기+표고버섯수확체험+추억의고무신그림그리기+밤줍기체험+매실따기체험+고구마캐기체험+두부만들기체험+뚝딱고추장만들기체험+딸기수확체험,충청북도 괴산군 칠성면 명태재로사은1길 59-39,043-830-3904,NULL
사재산마을,횡성군,농작물경작체험+전통문화체험+건강+자연생태체험+만들기체험+기타,가마솥밥짓기+향초만들기+향주머니만들기+피라미드게임+탱크게임+카트+천연비누만들기+몽땅꼬치구이+명품숲체험+마을체험차타기+루지+레크레이션+레일바이크+떡메치기+드림캐쳐+두릅따기+산나물채취+전통형벌체험+오토캠핑+연만들어날리기+얼음팽이+얼음축구+앉은뱅이썰매타기+안흥찐빵만들기+스키캠프+스노우카트+수영장+송어잡기+손수건물들이기+서바이벌+비료포대썰매타기+벌레퇴치제만들기+미니스탠드만들기+물놀이+국궁+금강소나무숲길+나무피리만들기+대관령양떼목장+농산물수확+경포해수욕장,강원특별자치도 횡성군 안흥면 서동로상안8길 9-14,NULL,http://cafe.naver.com/sjs2909
사포희망마을,고흥군,자연생태체험,고사리체험+블루베리체험,전라남도 고흥군 영남면 팔영로 1103,NULL,NULL
산덕마을,남원시,기타+만들기체험+자연생태체험,농산물수확체험+허브밸리+상추치약만들기+천연비누만들기,전북특별자치도 남원시 운봉읍 산덕길 15,063-625-9428,NULL
산막이옛길농촌체험휴양마을,괴산군,농작물경작체험+건강+자연생태체험+만들기체험,농촌생태체험+숙박체험+유람선체험+표고버석따기체험+숲속작은책방체험+산막이옛길숲체험+떡메치기체험+목공체험,충청북도 괴산군 칠성면 명태재로외사4길 1,043-832-3527,http://www.bbvill.com
산매골마을,안동시,농작물경작체험+전통문화체험+자연생태체험+만들기체험+기타,김치만들기+파파야장아찌+파파야심기+숙박.+도산서원.국학진흥원방문등+미꾸라지잡기.메뚜기잡기등+박일+손두부만들기+손두부.인절미.손국수+농산물수확체험,경상북도 안동시 와룡면 이하오산로 388,054-853-0577,http://sanmaegol.com
산야초마을,제천시,기타+건강+만들기체험,농사체험+천연염색스카프+천연염색(에코백소)+천연염색(에코백대)+천연염색(면티)+천연염색+천연비누만들기+인절미떡매치기+에센스만들기+약초환만들기+약초향기주머니만들기+약초술만들기+약초베게만들기+약초막장만들기+석고방향제+쌍화차만들기+아토피연고만들기+약초떡만들기+약초고추장만들기+두부만들기,충청북도 제천시 수산면 옥순봉로6길 3,043-651-3336,NULL
산야초치유휴양마을,하동군,농작물경작체험+만들기체험+건강+자연생태체험+전통문화체험,나만의차만들기(숙박)+차를어떻게마실까+자연먹거리고사리+내가심은차나무+명상/요가+압화,경상남도 하동군 화개면 부춘길 211,NULL,NULL
산채건강마을,제천시,전통문화체험+건강+자연생태체험+만들기체험+기타,국궁+장아찌담기+효소담기+황기엿만들기+한방체험+평상놀이체험+캠프파이어체험+천연몀색+찜질방체험+족구장+잔디구장이용+명의와약초찜질+바베큐구이체험+사과따기체험+음악치유프로그램+몸펴기생활운동체험+나전칠기손거울만들기,충청북도 제천시 봉양읍 명암로 574,043-653-7788,http://명암산채건강마을.kr
산채마을,횡성군,만들기체험,머그컵만들기,강원특별자치도 횡성군 둔내면 용현로 492,033-345-9196,NULL
산채으뜸마을,평창군,농작물경작체험+건강+기타,곤드레짜아지/씨앗그림+김치체험+산나물체험+곤드레축제,강원특별자치도 평창군 평창읍 대골길 5,033-333-5009,NULL
삼국유사화본마을,군위군,농작물경작체험+기타+만들기체험+전통문화체험,(공예체험)나무장난감만들기+(공예체험)텀블러꾸미기+(공예체험)팬시우드+고구마수확체험+(화본카페)아메리카노+(화본카페)복숭아아이스티+(야생화)압화열쇠고리(일자형)+(야생화)압화사각손거울만들기+(야생화)아로마디퓨저만들기ml+(야생화)마리모체험원형볼+(야생화)마리모체험블럭어항+(야생화)곰돌이(토피어리)+(석고방향제)++(사랑의자물쇠)+(사격장)++(야생화)향기나는젤만들기+(야생화)하바리움전구만들기+(야생화)콜라겐에센스만들기+(야생화)콜라겐보습크림만들기+(야생화)촉촉상큼핸드크림만들기+(야생화)천연모기퇴치제만들기+(야생화)천연고체버물리만들기+(야생화)차량용(아로마디퓨저)+(야생화)자석액자(압화공예)+(화본카페)과일스무디+(핀볼게임)+(쿠키만들기)++(추억의도시락)++(자전거)륜+(일본식관사숙박체험)+(옛날오락실)추억의오락기+(옛날오락실)두더지잡기+(에어바운스)+(레일카페)아메리카노+(레일카페)라떼+(레일카페)과일스무디+(도자기만들기)+(달고나만들기)+(농구게임기)+(꽃차만들기)+(꼬마기차)+(공예체험)팔찌꾸미기+(공예체험)춤추는발레리나꾸미기+(공예체험)미니거울만들기+(공예체험)알록달록우산꾸미기+(공예체험)원목냄비받침대만들기+(공예체험)에어로켓만들기,대구광역시 군위군 산성면 산성가음로 722,054-382-3361,http://www.화본마을.com
삼도봉권역,무주군,농작물경작체험+자연생태체험+기타,나물체취체험+발효식초만들기체험+사과따기체험+발효주만들기체험+물고기잡기체험,전북특별자치도 무주군 설천면 삼도봉로 468 (대불리),063-324-3738,NULL
삼정마을,보성군,기타+건강,민박+한옥체험+참다래농장체험,전라남도 보성군 조성면 삼정한옥길 74,NULL,NULL
상내권역나실마을,문경시,농작물경작체험+자연생태체험+만들기체험+기타,김잠담그기숙박체험+유리공예(목걸이만들기)+표고버섯따기체험+손두부만들기+두릅따기체험+맨손물고기잡기+사과따기+사과고추장담기,경상북도 문경시 마성면 상내1길 99,054-572-0402,NULL
상대마을(향기마을),횡성군,농작물경작체험+만들기체험+건강+기타,감자부침개+도토리묵만들기+떡메치기+송편만들기+옥수수전+숲길걷기+밀납양초만들기+두부만들기+농사체험+고추장만들기+김장김치체험,강원특별자치도 횡성군 갑천면 갑천로 839,033-343-3435,http://향기마을.kr
상모마을,함평군,기타+만들기체험,고구마체험+냇가체험+단호박체험+떡메체험+양파체험+완두콩체험+쿠키만들기+쥐불체험+에코백체험+목공체험+둠벙체험+농촌문화체험(팸투어),전라남도 함평군 해보면 상모길 55-17,NULL,NULL
서시래연화마을,평창군,기타,연잎밥만들기,강원특별자치도 평창군 미탄면 서동로 3834,NULL,NULL
석곡2리산골마을,정선군,농작물경작체험+전통문화체험+자연생태체험,메주만들기+물고기(뚜구리)잡기+사과따기+옥수수따기+목공예체험,강원특별자치도 정선군 화암면 소금강로 204,NULL,NULL
석산약바람산촌생태마을,군위군,기타+자연생태체험,고로쇠수액체험+산나물채취+모노레일체험,대구광역시 군위군 고로면 석산길 193,054-383-6866,http://seoksanri.kr
선돌촌마을,남원시,농작물경작체험+만들기체험+건강+기타,감자수확체험+전통한지만들기체험+힐링캠프+포도수확체험+천지화랑지리산캠프+지리산한달살이+전통가옥숙박체험+고사리채취체험+다슬기체험+달집태우기+사과수확체험+귀촌캠프+계곡물놀이체험,전북특별자치도 남원시 산내면 입석길 49-3,063-626-9981,http://www.jirisundol.com
선정은하수꼬막마을,고흥군,기타+전통문화체험+자연생태체험+건강,그늘막쉼터(캠핑체험)+바지락채취체험+선상체험+열두당산굿별신제+사계절(풀장)어페류잡기체험+머드림픽체험,전라남도 고흥군 남양면 선정새샘길 3,NULL,http://www.mudlympic.co.kr
설레는마을,정선군,기타,물고기잡기+오디따기,강원특별자치도 정선군 임계면 장찬동길 439-67,NULL,NULL
섬너울 오마,고흥군,농작물경작체험+자연생태체험,갯뻘체험+수제쏘시지만들기체험+식용곤충으로반찬과자.등..+농산물수확체험,전라남도 고흥군 도덕면 오마안길 11-7,061-844-9391,NULL
소도둑놈마을,평창군,기타+만들기체험,감자떡만들기+산적체험+숲체험+비누만들기+균형잠자리+당귀쿠기만들기+당귀피자만들기+당귀향주머니만들기+당귀다식만들기+공룡화석찍기,강원특별자치도 평창군 진부면 경강로 3346-9,NULL,http://sododuk.modoo.at
소똥령마을,고성군,농작물경작체험+만들기체험+자연생태체험+건강+기타,감자수확체험+농산물수확+떡만들기(절편)+떡메치고인절미만들기+모닥불피우고바베큐해먹기+블루베리수확+천연염색(손수건)+천연염색(면티-재료본인준비)+천연염색(면티)+절편만들기+절편+일주일살기+이장마을소개+오미자청만들기-역량교육+오가피막걸리만들기+해양심층수두부만들기+해양심층수두부(특)+팜트레블러+축제체험종+축제체험재료판매+축제맨손송어잡기+체험물량증가추가비+청계란수확+천연염색실크스카프+예쁜연못집농장체험+아름다운집농장체험+심층수두부만들기+숲속창의미술교실+숲속명상무예체험+솟대만들기+소똥모양비누만들기+소똥령트랙킹(마을해설사)+밤따기줍기체험+맨손메기잡기+떡메치고떡만들기+드럼통열차+나만의컵만들기+조류농장체험+고구마캐기kg,강원특별자치도 고성군 간성읍 소똥령마을길 82,033-681-8126,http://cafe.naver.com/sottong0
소랭이마을,공주시,농작물경작체험+만들기체험+자연생태체험+전통문화체험,귀촌(밤단호박찜)+귀촌(약식)+귀촌(양초체험)+귀촌(타일공예)+밤물김치(귀촌)+우리것+세상채우기(찾아가는+우리것+세상채우기+압화도자기(찾아가는)+압화도자기+밤트레킹+군밤+밤트레킹+밤전만들기+밤양갱만들기(찾아가는)+밤양갱만들기+전통놀이(소)+전통놀이(대)+율피비누만들기(찾아가는)+율피비누만들기+율란(찾아가는)+율란+귀촌(테라리움)+귀촌(율피)+귀촌(양갱이체험)+귀촌(압화)+귀촌(밤물김치)+귀촌(수확작물음식만들기),충청남도 공주시 정안면 정안마곡사로 396,041-852-8250,http://blog.naver.com/soraengi
속리산아트힐링센터,상주시,전통문화체험+만들기체험+건강+전통문화체험,간편요리+기문둔갑중급+레진+서각+오감자극힐링체험+자미두수+타로로보는마음지도+힐링댄스+토불만들기+캘리명상+옻칠염색+서예+명리로보는마음지도+기문둔갑초급,경상북도 상주시 화남면 동관3길 141-12,NULL,NULL
솔돌마을,정선군,농작물경작체험+기타+만들기체험,김장담그기체험+오븐찰떡만들기+파인애플찹쌀타르트+테라리움만들기+쿠키만들기+케잌만들기+정선다움치매안심걷기체험행사+유자휘낭시에+원예체험+원목연필꽂이+오토마타+피자만들기+스콘만들기+롤케잌+목공무드등+벼베기체험+쇠머리찰떡+모심기체험+대추타르트,강원특별자치도 정선군 북평면 와가길 25,033-562-3727,NULL
솔바람권역마을,남원시,농작물경작체험+건강+자연생태체험+만들기체험+전통문화체험,감자+고구마캐기+떡메체험+허브에센스+크림+허브스킨+로션+비누+허브샴푸+치약+향춘과만들기+콩나물키우기+정자투어+옛놀이+달고나+솜사탕+방향제+목화+물레+허브캔들+발향주머니+들꽃향기주머니+꽃강정체험+꽃음료+꽃식초+꽃젤리+꽃양갱+도자기체험+꽃비빔밥+김부각,전북특별자치도 남원시 덕과면 비촌길 92,063-632-9078,http://솔바람세상.com/
송죽마을,부여군,농작물경작체험+만들기체험+전통문화체험,김장체험+두부만들기+방울토마토따기+손수건+티셔츠염색체험+추억의도시락+천연비누만들기+짚공예+전래놀이+억새연필꽂이만들기+억새발만들기+압화공예(부채)+송편+인절미떡만들기+소원풍등날리기+바베큐구워먹기체험+대나무화분심기+달집태우기(고구마+밤구워먹기)+대나무압화향초만들기+대나무통밥만들기,충청남도 부여군 장암면 원문로 53-6,041-837-1152,NULL
송천들농촌체험휴양마을,고성군,농작물경작체험+만들기체험+자연생태체험+전통문화체험,가리비양식체험+갯벌체험+다육체험+박일프로그램(갯벌체험+숙박)+친환경부채만들기+탄소중립체험+예절+전래놀이+도장절편만들기+다도체험,경상남도 고성군 하일면 자란만로 1622-8,055-673-9696,http://hrvill.co.kr
수레마을,평창군,만들기체험+건강+기타,김장체험+황태구이체험+찻잔받침만들기+떡볶이체험+배추모양만두체험+백김치체험+족욕체험+배추김치체험,강원특별자치도 평창군 대관령면 갈골길 33-5,NULL,http://cafe.daum.net/Chahang
수풍마을,임실군,농작물경작체험+기타,귀농귀촌교육+쌀강정만들기+유기농토마토먹거리체험+유기농토마토성장체험+숙박시설사용,전북특별자치도 임실군 청웅면 향교로 124-3,NULL,http://blog.naver.com/kungolvil
순창 고추장익는 마을,순창군,농작물경작체험+자연생태체험+만들기체험,고추장불고기+캠프+인절미체험+순창전통고추장체험+순창전통고추장+즉석떡볶이체험+순창고추장체험성인+순창고추장kg만들기+순창고추장kg+순창고추장g+인절미체험+순창고추장g+떡볶이+순창고추장g+순창고추장+떡볶이+매직폴리미니+순창고추장+떡볶이+생태체험+김장체험+매실장아찌체험+발효항아리젤캔들+블루베리파이체험+블루베리수확체험+고추장비빔밥체험,전북특별자치도 순창군 구림면 산내길 38,063-653-7117,http://www.gochujangvillage.com
슬로시티수산마을,제천시,전통문화체험+건강+만들기체험,국궁+석부작+자연물봉투만들기체험+카누+카약+수수부꾸미+버닝체험+돌맹이커피체험+민속모듬북체험+버닝,충청북도 제천시 수산면 월악로26길 36,NULL,http://blog.naver.com/susan7060
승곡마을,상주시,농작물경작체험+건강+전통문화체험+만들기체험+자연생태체험+기타,감깎이+모두투어곶감여행+문패만들기+피자+핫도그+음료+전통매듭만들기체험+소시지만들기+상감고추장만들기+사과피자+사과수확kg+사과수확(.kg)+사과/감파이만들기+배꽃축제(나물뜯기+배꽂따기등)+피자만들기+목공체험+도자기냄비받침+고추장만들기(투어)+고택체험(한옥+고택)+나도바리스타+곶감강정만들기,경상북도 상주시 낙동면 승곡1길 34,054-531-0154,NULL
시항골마을,영동군,농작물경작체험+자연생태체험+전통문화체험+만들기체험,곤충관찰체험+블루베리체험+포도따기체험+음식체험+압화엽서만들기+송편만들기+생태미술체험+복숭아따기체험+곶감만들기+두부만들기체험+딸기체험+별자리및반디불이관찰+두릅체험+곤충체험,충청북도 영동군 학산면 용화양강로 1359,043-744-5900,NULL
신무마을,무주군,농작물경작체험+만들기체험+자연생태체험+기타,강정만들기+미니수생식물관관찰+블루베리따기+타일냄비빋침+천마캐기+천마주만들기+인삼캐기+오미자청담그기+야생화다육이심기체험+반딧불탐방+땅콩캐기체험+고구마캐기체험+김장체험+두릅따기(봄나물)+다슬기잡기및수제비만들기,전북특별자치도 무주군 안성면 덕유산로 161-8,NULL,NULL
신전마을(다락골),임실군,기타+만들기체험+전통문화체험,감자캐기+병조림복숭아황도만들기+전통놀이+힐링원예체험+옻닭체험+메주만들기+고구마심기+캐기+고추장만들기+된장만들기+도자기만들기,전북특별자치도 임실군 관촌면 상월로 478,063-644-1331,NULL
